numero_client,nom,prenom,sexe,date_naissance,email,telephone_mobile,adresse,code_postal,ville,iban,num_secu,statut_compte_courant,duree_credit_mois,historique_credit,objet_credit,montant_credit,epargne,anciennete_emploi,taux_effort,statut_personnel_sexe,autres_debiteurs,anciennete_logement,biens,age,autres_credits,logement,nb_credits_existants,emploi,nb_personnes_charge,telephone_declare,travailleur_etranger,defaut
FIN-100432,Gomes,Étienne,M,1989-05-19,étienne.gomes@orange.fr,0639551240,"6, rue Laetitia Parent",54948,Marchalboeuf,FR6153394319165430895231202,226122123142415,solde < 100,6,compte critique / crédits ailleurs,audiovisuel,1872,épargne < 100,sans emploi,4,homme : célibataire,aucun,4,aucun bien connu,36,aucun,logé gratuitement,3,cadre / indépendant,1,oui,oui,0
FIN-100070,Godard,Pauline,F,1995-05-22,pauline.godard@gmail.com,0679660334,"9, rue Roux",35865,Collet-sur-Mer,FR8075095465408424560754091,277127127028780,pas de compte courant,36,crédits en cours sans incident,voiture occasion,8133,,,1,femme : divorcée/séparée/mariée,aucun,2,épargne logement/assurance vie,30,banque,propriétaire,1,employé qualifié,1,non,oui,0
FIN-100680,Ferreira,Virginie,F,1969-03-12,virginie.ferreira@orange.fr,0675482145,"72, boulevard Bernard Blot",40105,LAGARDE-LES-BAINS,FR9193251149788795312040954,235056544005338,pas de compte courant,6,crédits en cours sans incident,reconversion,1538,épargne < 100,< 1 an,1,femme : divorcée/séparée/mariée,aucun,2,aucun bien connu,56,aucun,propriétaire,1,employé qualifié,1,non,oui,0
FIN-100101,Ollivier,Vincent,M,2001-10-14,vincent.ollivier@outlook.fr,0704389836,"225, boulevard Carlier",34676,Bourdonnec,FR6060035624395873959232342,253040912281917,solde 100-200,36,crédits en cours sans incident,électroménager,2323,,4-7 ans,4,homme : célibataire,aucun,4,véhicule ou autre,24,aucun,locataire,1,employé qualifié,1,non,oui,0
FIN-100845,Ruiz,Louis,M,1990-04-04,louis.ruiz@outlook.fr,0699156686,"5, rue Turpin",22429,Dos Santos,FR3068268221756269962083479,193074101828275,solde 100-200,21,crédits en cours sans incident,audiovisuel,3976,pas d'épargne connue,4-7 ans,2,homme : célibataire,aucun,3,véhicule ou autre,35,aucun,propriétaire,1,employé qualifié,1,oui,oui,0
FIN-100656,Sanchez,Nicolas,M,1984-06-27,nicolas.sanchez@outlook.fr,0680172260,"381, boulevard Albert",95166,Maréchal,FR3830882958684196233260586,263102227877766,solde 100-200,12,crédits en cours sans incident,voiture neuve,888,épargne < 100,>= 7 ans,4,homme : célibataire,aucun,4,véhicule ou autre,41,banque,propriétaire,1,non qualifié résident,2,non,oui,1
FIN-100310,Bernier,Édouard,M,1985-03-19,édouard.bernier@gmail.com,0721117908,chemin François Legrand,97381,COUTURIER,FR8442824911650200024539313,211123818517874,solde 100-200,48,crédits en cours sans incident,mobilier/équipement,5381,pas d'épargne connue,sans emploi,3,homme : célibataire,aucun,4,aucun bien connu,40,banque,logé gratuitement,1,sans emploi / non qualifié non résident,1,oui,oui,0
FIN-100344,Loiseau,Christophe,M,1988-06-27,christophe.loiseau@free.fr,0620461872,rue Agnès Fischer,91872,Bousquet,FR7182769704095314196156078,167116748277077,solde > 200 ou salaire domicilié,10,crédits en cours sans incident,voiture neuve,3949,épargne < 100,< 1 an,1,homme : célibataire,garant,1,épargne logement/assurance vie,37,aucun,propriétaire,1,non qualifié résident,2,non,oui,0
FIN-100837,Lefebvre,Océane,F,2002-07-03,océane.lefebvre@outlook.fr,0720918435,"2, rue de Tanguy",97670,Lagarde,FR0323873518664774131351830,183027306554681,pas de compte courant,4,crédits en cours sans incident,audiovisuel,601,,< 1 an,1,femme : divorcée/séparée/mariée,aucun,3,immobilier,23,aucun,locataire,1,non qualifié résident,2,non,oui,0
FIN-100174,Delaunay,Gilles,M,1999-04-21,gilles.delaunay@gmail.com,0632475469,"411, chemin de Brun",20230,Saint Cécilenec,FR2390339705195826328094485,220124221813533,solde < 100,21,retards de paiement passés,reconversion,3414,,< 1 an,2,homme : célibataire,aucun,1,épargne logement/assurance vie,26,aucun,propriétaire,2,employé qualifié,1,non,oui,1
FIN-100096,Duhamel,Isabelle,F,1964-10-29,isabelle.duhamel@orange.fr,0662713611,chemin Thérèse Bernard,44195,Pons-sur-Bousquet,FR4106734996010548574172156,157114019224842,pas de compte courant,12,compte critique / crédits ailleurs,reconversion,2012,,4-7 ans,4,femme : divorcée/séparée/mariée,aucun,2,véhicule ou autre,61,aucun,propriétaire,1,employé qualifié,1,non,oui,0
FIN-100822,Mathieu,Isaac,M,1984-11-12,isaac.mathieu@outlook.fr,0758750663,"25, boulevard de Morvan",88483,Moreau,FR0750566937540242861789257,147068902448354,solde < 100,36,crédits en cours sans incident,audiovisuel,2712,épargne < 100,>= 7 ans,2,homme : célibataire,aucun,2,épargne logement/assurance vie,41,banque,propriétaire,1,employé qualifié,2,non,oui,1
FIN-100598,Fischer,Timothée,M,1994-10-25,timothée.fischer@outlook.fr,0729456371,avenue Rey,40798,Allard,FR8700728895927411680691961,274082309663823,pas de compte courant,18,compte critique / crédits ailleurs,voiture neuve,2775,épargne < 100,4-7 ans,2,homme : célibataire,aucun,2,épargne logement/assurance vie,31,banque,propriétaire,2,employé qualifié,1,non,oui,1
FIN-100218,Normand,François,M,2001-06-25,françois.normand@outlook.fr,0762890028,"10, avenue Durand",78469,Potier,FR9012657422319646300402369,102043604497643,solde < 100,24,crédits en cours sans incident,audiovisuel,3021,épargne < 100,1-4 ans,2,homme : divorcé/séparé,aucun,2,immobilier,24,aucun,locataire,1,non qualifié résident,1,non,oui,0
FIN-100420,Louis,Lucie,F,2005-04-23,lucie.louis@orange.fr,0679501455,"99, avenue Thomas",44406,VoisinVille,FR0842573160943913681720313,109080810552613,pas de compte courant,15,crédits en cours sans incident,voiture neuve,3186,épargne > 1000,,2,femme : divorcée/séparée/mariée,aucun,3,véhicule ou autre,20,aucun,locataire,1,employé qualifié,1,non,oui,0
FIN-100208,Guilbert,Marcel,M,2004-03-21,marcel.guilbert@orange.fr,+33753001197,"60, chemin de Godard",03105,Guibertnec,FR2253454722398983065031219,186107728803778,solde < 100,24,crédits en cours sans incident,autre,6568,épargne < 100,1-4 ans,2,homme : marié/veuf,aucun,2,véhicule ou autre,21,magasins,propriétaire,1,non qualifié résident,1,non,oui,0
FIN-100774,Descamps,Denis,M,1959-04-13,denis.descamps@orange.fr,0666377805,"5, rue Gilbert Bodin",42730,Seguin,FR5773429390773729545038016,216104700188995,solde > 200 ou salaire domicilié,12,compte critique / crédits ailleurs,voiture neuve,1480,épargne 500-1000,sans emploi,2,homme : célibataire,aucun,4,aucun bien connu,66,banque,logé gratuitement,3,sans emploi / non qualifié non résident,1,non,oui,0
FIN-100290,Lecoq,Thibault,M,1999-10-25,thibault.lecoq@gmail.com,0663565126,"22, rue Da Costa",61232,Saint Théophile,FR2637312552356178170321192,222087505633947,pas de compte courant,12,crédits en cours sans incident,autre,1076,épargne < 100,1-4 ans,2,homme : marié/veuf,aucun,2,immobilier,26,aucun,propriétaire,1,employé qualifié,1,oui,non,0
FIN-100889,Giraud,Tristan,M,1985-05-24,tristan.giraud@free.fr,0653814474,"91, rue Claudine Prévost",38863,Teixeira-sur-Paul,FR1330568709412460516483895,254079205021059,pas de compte courant,28,crédits Finova soldés,voiture occasion,7824,pas d'épargne connue,< 1 an,3,homme : célibataire,garant,4,immobilier,40,banque,locataire,2,employé qualifié,2,oui,oui,0
FIN-100670,Laurent,Noël,M,10/06/1998,noël.laurent@free.fr,0695972466,"493, rue Pelletier",41542,Muller,FR1783029158542332416518548,246115819463385,pas de compte courant,24,compte critique / crédits ailleurs,autre,4139,épargne 100-500,1-4 ans,3,homme : célibataire,aucun,3,épargne logement/assurance vie,27,aucun,propriétaire,2,non qualifié résident,1,oui,oui,0
FIN-100903,Fleury,Guy,M,03/07/1985,guy.fleury@gmail.com,0671892392,"61, boulevard de Durand",65879,Saint Julien,FR6088070051028745120220175,215040608843962,pas de compte courant,15,crédits en cours sans incident,électroménager,1386,pas d'épargne connue,1-4 ans,4,homme : marié/veuf,aucun,2,immobilier,40,aucun,locataire,1,employé qualifié,1,oui,oui,0
FIN-100626,Guillet,Léon,M,1984-09-05,léon.guillet@free.fr,0669694215,"50, rue Gomes",97399,PereiraVille,FR8537597953192600986027574,272038619477912,solde > 200 ou salaire domicilié,6,crédits en cours sans incident,audiovisuel,2116,,1-4 ans,2,homme : célibataire,aucun,2,immobilier,41,aucun,propriétaire,1,employé qualifié,1,oui,oui,0
FIN-100691,Blot,Alexandria,F,2000-07-27,alexandria.blot@free.fr,0749075399,"77, rue Joséphine Brunel",13128,Pereira-sur-Da Silva,FR6335389629853243679241571,171123604469677,solde 100-200,15,crédits en cours sans incident,études,2631,épargne 100-500,1-4 ans,3,femme : divorcée/séparée/mariée,aucun,2,immobilier,25,aucun,propriétaire,1,non qualifié résident,1,non,oui,0
FIN-100329,Legros,Nicolas,M,1997-10-15,nicolas.legros@gmail.com,06 17 80 06 81,"70, avenue Renaud",56880,Saint Timothée,FR0890716690632248155420340,237098816085990,solde 100-200,6,crédits en cours sans incident,électroménager,1068,épargne < 100,>= 7 ans,4,homme : célibataire,aucun,4,véhicule ou autre,28,aucun,propriétaire,1,employé qualifié,2,non,oui,0
FIN-100697,Bonnet,Martine,F,1987-03-05,martine.bonnet@orange.fr,0677288137,"20, chemin Alexandrie Gillet",30448,Potier,FR6467068335391016125901639,274042505673934,pas de compte courant,12,compte critique / crédits ailleurs,voiture neuve,926,épargne < 100,sans emploi,1,femme : divorcée/séparée/mariée,aucun,2,épargne logement/assurance vie,38,aucun,propriétaire,1,sans emploi / non qualifié non résident,1,non,oui,0
FIN-100762,Pereira,Martin,M,2001-08-27,martin.pereira@outlook.fr,0787255877,"809, rue de Mendès",71979,Legranddan,FR9716767187762883636885016,200013930013213,solde < 100,12,crédits en cours sans incident,électroménager,2214,épargne < 100,1-4 ans,4,homme : célibataire,aucun,3,épargne logement/assurance vie,24,aucun,propriétaire,1,non qualifié résident,1,non,oui,0
FIN-100490,Da Costa,Denis,M,1999-03-19,denis.da-costa@outlook.fr,0694707200,"33, rue Étienne",57252,Meyerdan,FR7899001089857390835211896,105109761182810,pas de compte courant,12,compte critique / crédits ailleurs,électroménager,1934,épargne < 100,>= 7 ans,2,homme : célibataire,aucun,2,aucun bien connu,26,aucun,propriétaire,2,employé qualifié,1,non,oui,0
FIN-100350,Girard,Édith,F,2002-10-17,édith.girard@gmail.com,0792513271,"53, avenue de Blanchet",29241,Foucher-les-Bains,FR5241916503440966177182498,252112432263172,pas de compte courant,9,crédits en cours sans incident,travaux,1236,épargne < 100,< 1 an,1,femme : divorcée/séparée/mariée,aucun,4,immobilier,23,aucun,locataire,1,employé qualifié,1,oui,Oui ,0
FIN-100500,Navarro,Virginie,F,1998-06-04,virginie.navarro@gmail.com,0632020417,"1, boulevard Bodin",82190,Carlier,FR2283772702896660534281644,121021601556825,solde < 100,24,crédits en cours sans incident,voiture neuve,3123,épargne < 100,< 1 an,4,femme : divorcée/séparée/mariée,aucun,1,épargne logement/assurance vie,27,aucun,propriétaire,1,employé qualifié,1,non,oui,1
FIN-100307,Raymond,Matthieu,M,1992-10-11,matthieu.raymond@gmail.com,0734165182,avenue Nath Humbert,33448,Labbé,FR6713675009421410527698198,281114523446022,solde < 100,12,crédits en cours sans incident,électroménager,727,,< 1 an,4,homme : marié/veuf,aucun,3,aucun bien connu,33,aucun,propriétaire,1,non qualifié résident,1,oui,oui,1
FIN-100853,Caron,Tristan,M,19.11.1993,tristan.caron@gmail.com,0602764208,avenue de Carpentier,05312,Guyotboeuf,FR8432670848868656292582282,139055110883638,solde < 100,18,crédits Finova soldés,voiture neuve,1442,épargne < 100,4-7 ans,4,homme : célibataire,aucun,4,aucun bien connu,32,aucun,logé gratuitement,2,non qualifié résident,2,non,oui,1
FIN-100351,Gillet,Josette,F,1996-04-30,josette.gillet@gmail.com,0700528127,rue de Reynaud,54523,MaheBourg,FR2698088067821417468135926,244016204181852,solde 100-200,9,crédits en cours sans incident,audiovisuel,959,épargne < 100,1-4 ans,1,femme : divorcée/séparée/mariée,aucun,2,véhicule ou autre,29,aucun,propriétaire,1,employé qualifié,1,non,non,1
FIN-100643,Besnard,Honoré,M,1992-09-22,honoré.besnard@gmail.com,0713715041,"25, avenue Briand",77314,Guilloudan,FR0232239461212898115948534,251085626053303,pas de compte courant,24,compte critique / crédits ailleurs,électroménager,1851,épargne < 100,4-7 ans,4,homme : marié/veuf,garant,2,véhicule ou autre,123,aucun,propriétaire,2,employé qualifié,1,oui,oui,0
FIN-100439,Roussel,Lorraine,F,1999-06-15,lorraine.roussel@outlook.fr,0691570184,"59, chemin Turpin",67512,Lacroix,FR9123095862973988941321097,244083306373381,solde > 200 ou salaire domicilié,12,crédits Finova soldés,autre,609,,< 1 an,4,femme : divorcée/séparée/mariée,aucun,1,immobilier,26,aucun,propriétaire,1,sans emploi / non qualifié non résident,1,non,oui,1
FIN-100819,Gosselin,Franck,M,1999-03-18,franck.gosselin@free.fr,0652732300,boulevard Jean Maury,17913,Saint Catherine-les-Bains,FR2573449668667989947061706,297014019282313,solde < 100,18,crédits en cours sans incident,électroménager,1345,épargne < 100,1-4 ans,4,homme : marié/veuf,aucun,3,immobilier,26,banque,propriétaire,1,employé qualifié,1,non,oui,1
FIN-100833,Baudry,Pénélope,F,19.06.1983,pénélope.baudry@orange.fr,0710040901,"6, boulevard de Vasseur",17971,ClercBourg,FR5444776186870479666829052,187119550024473,solde 100-200,24,crédits en cours sans incident,électroménager,5084,pas d'épargne connue,>= 7 ans,2,femme : divorcée/séparée/mariée,aucun,4,véhicule ou autre,42,aucun,propriétaire,1,employé qualifié,1,oui,oui,0
FIN-100518,Leconte,Isaac,M,1982-04-13,isaac.leconte@gmail.com,0642177625,"149, avenue Navarro",26351,Saint Émilie,FR1137819190749921640069836,134077401033432,solde < 100,6,crédits en cours sans incident,voiture neuve,1203,épargne 100-500,>= 7 ans,3,homme : célibataire,aucun,2,épargne logement/assurance vie,43,aucun,propriétaire,1,employé qualifié,1,oui,oui,0
FIN-100554,Aubert,Nathalie,F,1958-10-24,nathalie.aubert@gmail.com,0632648704,boulevard Louis Verdier,34162,Durand,FR1608927396159764053567078,252014410962842,solde 100-200,9,crédits en cours sans incident,reconversion,1199,épargne < 100,4-7 ans,4,femme : divorcée/séparée/mariée,aucun,4,épargne logement/assurance vie,67,aucun,propriétaire,2,cadre / indépendant,1,oui,oui,0
FIN-100289,Ollivier,Gérard,M,1977-07-09,gérard.ollivier@free.fr,0743009818,"8, chemin de Gosselin",12783,Briand,FR6592508177602991406884133,259010240870828,solde < 100,24,retards de paiement passés,électroménager,1024,,< 1 an,4,homme : marié/veuf,aucun,4,immobilier,48,magasins,propriétaire,1,employé qualifié,1,non,oui,1
FIN-100292,Lombard,Patricia,F,1981-03-18,patricia.lombard@free.fr,0668872588,"63, chemin de Maury",20720,Hebert-les-Bains,FR4949029502648016440373416,176063417229240,solde < 100,24,compte critique / crédits ailleurs,voiture occasion,6419,,>= 7 ans,2,femme : divorcée/séparée/mariée,aucun,4,aucun bien connu,44,aucun,logé gratuitement,2,cadre / indépendant,2,oui,oui,0
FIN-100213,Courtois,Stéphane,M,1959-11-12,stéphane.courtois@gmail.com,0774676212,"27, rue de Antoine",51989,Sainte Gilbertboeuf,FR4778599648628720319541966,291120912293411,solde > 200 ou salaire domicilié,30,retards de paiement passés,autre,1908,épargne < 100,,4,homme : célibataire,aucun,4,immobilier,66,aucun,propriétaire,1,cadre / indépendant,1,oui,oui,1
FIN-100966,Perrin,Hugues,M,1998-03-05,hugues.perrin@gmail.com,06 02 48 17 17,"25, chemin de Bodin",95170,Monnier-sur-Mer,FR2111173670386256761125842,152019741113288,solde 100-200,27,compte critique / crédits ailleurs,électroménager,2520,épargne 500-1000,1-4 ans,4,homme : célibataire,aucun,2,épargne logement/assurance vie,23,aucun,propriétaire,2,non qualifié résident,1,non,oui,1
FIN-100059,Vallet,Jeanne,F,2002-04-20,jeanne.vallet@gmail.com,0673741672,"72, rue de Bouchet",06694,Martineau,FR9832447417595587209628936,265107218168568,solde < 100,36,compte critique / crédits ailleurs,audiovisuel,6229,,< 1 an,4,femme : divorcée/séparée/mariée,co-emprunteur,4,aucun bien connu,23,aucun,locataire,2,non qualifié résident,1,oui,oui,1
FIN-100692,Carpentier,Julien,M,1996-08-24,julien.carpentier@free.fr,0654492683,boulevard Lopes,61542,Vallet,FR9427638354346858639061682,240048400763928,solde 100-200,24,crédits en cours sans incident,électroménager,2896,,,2,homme : célibataire,aucun,1,véhicule ou autre,29,aucun,propriétaire,1,employé qualifié,1,non,oui,0
FIN-100321,Gimenez,Hugues,M,1993-07-11,hugues.gimenez@outlook.fr,0603471754,"66, avenue Bertrand",97623,Rodrigues,FR9753585238600304436199517,209120105350056,solde < 100,24,crédits en cours sans incident,électroménager,1938,épargne < 100,< 1 an,4,homme : divorcé/séparé,aucun,3,épargne logement/assurance vie,32,aucun,propriétaire,1,employé qualifié,1,non,oui,1
FIN-100010,Guilbert,Alexandrie,F,2000-02-23,alexandrie.guilbert@gmail.com,0740640391,"245, chemin Peltier",12476,Sainte André,FR7693898469081974005643502,115039741178123,solde 100-200,12,crédits en cours sans incident,voiture neuve,1295,,< 1 an,3,femme : divorcée/séparée/mariée,aucun,1,véhicule ou autre,25,aucun,locataire,1,employé qualifié,1,non,oui,1
FIN-100331,Perrier,Paulette,F,1995-05-20,paulette.perrier@gmail.com,0772282005,"68, boulevard Céline Richard",93991,Courtoisnec,FR4634712476010801810306831,180034523424910,pas de compte courant,18,compte critique / crédits ailleurs,reconversion,1864,épargne 100-500,1-4 ans,4,femme : divorcée/séparée/mariée,aucun,2,immobilier,30,aucun,propriétaire,2,employé qualifié,1,non,oui,1
FIN-100334,Benard,Adrien,M,2002-09-18,adrien.benard@orange.fr,0778317456,boulevard Adélaïde Bouchet,42938,Delannoy-les-Bains,FR2113009625885766947031805,261107654006297,solde < 100,24,aucun crédit / tous soldés,audiovisuel,4110,épargne < 100,>= 7 ans,3,homme : célibataire,aucun,4,aucun bien connu,23,banque,locataire,2,employé qualifié,2,non,OUI,1
FIN-100918,Étienne,Alain,M,1992-05-22,alain.étienne@free.fr,0732029390,"40, rue Delmas",56560,Hardy,FR5379206754939343969045392,214010105391197,solde < 100,24,crédits en cours sans incident,audiovisuel,2359,épargne 100-500,sans emploi,1,homme : divorcé/séparé,aucun,1,épargne logement/assurance vie,33,aucun,propriétaire,1,employé qualifié,1,non,oui,1
FIN-100086,Riou,Lucy,F,1998-05-13,lucy.riou@outlook.fr,0626042232,"96, chemin de Blot",20822,Saint Claudine,FR2492529858567287276015343,189102808525842,solde 100-200,18,compte critique / crédits ailleurs,audiovisuel,1295,épargne < 100,< 1 an,4,femme : divorcée/séparée/mariée,aucun,1,épargne logement/assurance vie,27,aucun,propriétaire,2,employé qualifié,1,non,oui,0
FIN-100332,Salmon,Aimée,F,2001-07-10,aimée.salmon@outlook.fr,0777848728,"798, avenue Gérard",13257,Allain-les-Bains,FR1276417268080815712901507,142022227808956,solde 100-200,60,crédits en cours sans incident,voiture neuve,7408,épargne 100-500,< 1 an,4,femme : divorcée/séparée/mariée,aucun,2,épargne logement/assurance vie,24,aucun,propriétaire,1,cadre / indépendant,1,non,oui,1
FIN-100743,Weber,Isaac,M,2003-10-10,isaac.weber@free.fr,0678593110,"43, rue de Leduc",79555,  Saint BernadetteVille ,FR3878401902716988371611586,223090810563062,solde < 100,24,crédits Finova soldés,audiovisuel,2483,épargne 500-1000,1-4 ans,4,homme : célibataire,aucun,4,immobilier,22,magasins,propriétaire,1,employé qualifié,1,oui,oui,0
FIN-100450,Lelièvre,Guy,M,1995-11-24,guy.lelièvre@orange.fr,0681615814,rue de Lacroix,62828,Perrotboeuf,FR4517754619924065838727258,150039720933264,pas de compte courant,36,compte critique / crédits ailleurs,voiture occasion,11054,pas d'épargne connue,1-4 ans,4,homme : célibataire,aucun,2,véhicule ou autre,30,aucun,propriétaire,1,cadre / indépendant,1,oui,oui,0
FIN-100468,Schneider,Pénélope,F,1999-03-23,pénélope.schneider@orange.fr,0689137189,"675, rue Roussel",04910,Collet,FR7028233921883527918750677,138024221853497,pas de compte courant,33,retards de paiement passés,autre,,épargne < 100,1-4 ans,2,femme : divorcée/séparée/mariée,aucun,2,véhicule ou autre,26,aucun,propriétaire,2,employé qualifié,1,oui,oui,0
FIN-100305,Laporte,Xavier,M,01.11.1992,xavier.laporte@outlook.fr,07 77 90 71 41,"61, rue Rémy Lacroix",16675,Delahaye-les-Bains,FR1144303491891179720385934,106025819401448,pas de compte courant,6,crédits en cours sans incident,audiovisuel,1543,épargne > 1000,1-4 ans,4,homme : divorcé/séparé,aucun,2,immobilier,33,aucun,propriétaire,1,employé qualifié,1,non,oui,0
FIN-100030,Lambert,Arthur,M,1989-06-20,arthur.lambert@outlook.fr,0789964235,"58, chemin Pierre",19129,Saint Benoît,FR2757289413475098898645652,190118100418019,solde 100-200,18,crédits en cours sans incident,autre,1913,,< 1 an,3,homme : marié/veuf,aucun,3,immobilier,36,banque,propriétaire,1,employé qualifié,1,oui,oui,0
FIN-100558,Leblanc,Marc,M,1998-07-06,marc.leblanc@outlook.fr,0747158904,rue Le Goff,04517,Cousin,FR6298014264710680177031637,174053523891118,solde < 100,999,crédits Finova soldés,audiovisuel,3552,épargne < 100,4-7 ans,3,homme : célibataire,aucun,4,véhicule ou autre,27,banque,propriétaire,1,employé qualifié,1,non,oui,1
FIN-100405,Vidal,Isaac,M,2003-07-28,isaac.vidal@free.fr,0769998808,"300, avenue de Costa",93161,Vallée,FR5521353028165064630059377,281119761103849,solde 100-200,24,crédits en cours sans incident,électroménager,2039,épargne < 100,< 1 an,1,homme : marié/veuf,aucun,1,épargne logement/assurance vie,22,aucun,propriétaire,1,employé qualifié,1,oui,oui,1
FIN-100054,Lecomte,Hugues,M,1968-04-01,hugues.lecomte@orange.fr,0737993712,"147, chemin Margot Masson",32616,Colas-les-Bains,FR9051548094047604409079772,226033523838303,solde 100-200,36,retards de paiement passés,voiture neuve,2225,,>= 7 ans,4,homme : célibataire,aucun,4,aucun bien connu,57,banque,logé gratuitement,2,employé qualifié,1,oui,oui,1
FIN-100023,Bertrand,Gilles,M,1981-09-04,gilles.bertrand@free.fr,0788263435,"95, rue Bourgeois",17541,Garnier,FR4795616420595565749025042,252028708505593,solde 100-200,12,compte critique / crédits ailleurs,voiture occasion,1804,,< 1 an,3,homme : célibataire,aucun,4,épargne logement/assurance vie,44,aucun,propriétaire,1,employé qualifié,1,non,oui,0
FIN-200000,Blanchet,Maurice,M,1976-04-03,maurice.blanchet@outlook.fr,0734111595,"511, chemin Roy",29398,Saint Claudine-la-Forêt,FR1455290509260001101561619,162102923291158,solde > 200 ou salaire domicilié,30,compte critique / crédits ailleurs,électroménager,3656,pas d'épargne connue,>= 7 ans,4,homme : célibataire,aucun,4,épargne logement/assurance vie,49,magasins,propriétaire,2,non qualifié résident,1,non,oui,0
FIN-100481,Grondin,Alfred,M,1999-05-04,alfred.grondin@orange.fr,0773938525,"39, avenue de Pelletier",57445,Sainte Matthieu,FR7304747648455939652138350,185127728822865,solde 100-200,24,crédits en cours sans incident,voiture neuve,1201,épargne < 100,< 1 an,4,homme : célibataire,aucun,1,épargne logement/assurance vie,26,aucun,propriétaire,1,employé qualifié,1,non,oui,0
